iata_code,name,latitude_deg,longitude_deg,type
YBX,Lourdes-de-Blanc-Sablon Airport,51.4436,-57.185299,medium_airport
YCB,Cambridge Bay Airport,69.1081008911,-105.138000488,medium_airport
YCC,Cornwall Regional Airport,45.092637,-74.567724,medium_airport
YCD,Nanaimo Airport,49.05497,-123.869863,medium_airport
YCE,Centralia / James T. Field Memorial Aerodrome,43.285599,-81.508301,medium_airport
YCG,Castlegar/West Kootenay Regional Airport,49.296398,-117.632004,medium_airport
YCH,Miramichi Airport,47.007801,-65.449203,medium_airport
YCL,Charlo Airport,47.990799,-66.330299,medium_airport
YCN,Cochrane Airport,49.10559844970703,-81.01360321044922,medium_airport
YCQ,Chetwynd Airport,55.687198638916016,-121.6269989013672,medium_airport
YDA,Dawson City Airport,64.04309844970703,-139.1280059814453,medium_airport
YDB,Burwash Airport,61.371101,-139.041,medium_airport
YDF,Deer Lake Airport,49.208159,-57.396147,medium_airport
XRR,Ross River Airport,61.9706001282,-132.42300415,medium_airport
YDN,Dauphin Barker Airport,51.1008,-100.052002,medium_airport
YDO,Dolbeau-Saint-Felicien Airport,48.7785,-72.375,medium_airport
YDQ,Dawson Creek Airport,55.741245,-120.183263,medium_airport
YEG,Edmonton International Airport,53.3097,-113.580002,large_airport
YEL,Elliot Lake Municipal Airport,46.351398468,-82.5614013672,medium_airport
YEM,Manitoulin East Municipal Airport,45.842435,-81.857595,medium_airport
YEN,Estevan Airport,49.2103004456,-102.966003418,medium_airport
YET,Edson Airport,53.5788993835,-116.464996338,medium_airport
YEV,Inuvik Mike Zubko Airport,68.30419921880001,-133.483001709,medium_airport
YEY,Amos/Magny Airport,48.563903,-78.249702,medium_airport
YFB,Iqaluit Airport,63.756402,-68.555801,medium_airport
YFC,Fredericton International Airport,45.868697,-66.529891,medium_airport
YFE,Forestville Airport,48.74610137939453,-69.09719848632812,medium_airport
YTM,Mont-Tremblant International Airport,46.409401,-74.779999,medium_airport
YFR,Fort Resolution Airport,61.1808013916,-113.690002441,medium_airport
YFS,Fort Simpson Airport,61.76020050048828,-121.23699951171876,medium_airport
YGK,Kingston Norman Rogers Airport,44.2253,-76.596901,medium_airport
YGL,La Grande Rivière Airport,53.625301361083984,-77.7042007446289,medium_airport
YGM,Gimli Industrial Park Airport,50.62810134887695,-97.04329681396484,medium_airport
YGP,Michel-Pouliot Gaspé Airport,48.774915,-64.481893,medium_airport
YGQ,Geraldton Greenstone Regional Airport,49.77830123901367,-86.93939971923828,medium_airport
YGR,Îles-de-la-Madeleine Airport,47.425242,-61.778612,medium_airport
YGV,Havre-Saint-Pierre Airport,50.281898,-63.611401,medium_airport
YGW,Kuujjuarapik Airport,55.28189849853516,-77.76529693603516,medium_airport
YHD,Dryden Regional Airport,49.831699,-92.744202,medium_airport
YHF,Hearst René Fontaine Municipal Airport,49.71419906616211,-83.68609619140625,medium_airport
YHM,John C. Munro Hamilton International Airport,43.17348,-79.931185,medium_airport
YHN,Hornepayne Municipal Airport,49.19309997558594,-84.75890350341797,medium_airport
YHT,Haines Junction Airport,60.7892,-137.546005,medium_airport
YHU,Montréal / Saint-Hubert Metropolitan Airport,45.517502,-73.416901,medium_airport
YHY,Hay River / Merlyn Carter Airport,60.8396987915,-115.782997131,medium_airport
YHZ,Halifax / Stanfield International Airport,44.8807983398,-63.5085983276,large_airport
YIB,Atikokan Municipal Airport,48.773899,-91.638603,medium_airport
YDG,Digby / Annapolis Regional Airport,44.5458450365,-65.7854247093,medium_airport
YIF,St Augustin Airport,51.2117,-58.658298,medium_airport
YIV,Island Lake Airport,53.857200622558594,-94.65360260009766,medium_airport
YJF,Fort Liard Airport,60.2358016968,-123.46900177,medium_airport
YJN,St Jean Airport,45.29439926147461,-73.28109741210938,medium_airport
YJT,Stephenville Dymond International Airport,48.54339,-58.552892,medium_airport
YKA,Kamloops John Moose Fulton Field Regional Airport,50.703038,-120.448641,medium_airport
YKF,Region of Waterloo International Airport,43.4608,-80.378601,medium_airport
YKJ,Key Lake Airport,57.25609970092773,-105.61799621582033,medium_airport
YKL,Schefferville Airport,54.805301666259766,-66.8052978515625,medium_airport
YKD,Kincardine Municipal Airport,44.201401,-81.606697,medium_airport
YKX,Kirkland Lake Airport,48.21030044555664,-79.98139953613281,medium_airport
YKY,Kindersley Airport,51.5175018311,-109.180999756,medium_airport
YLD,Chapleau Airport,47.81999969482422,-83.3467025756836,medium_airport
YLJ,Meadow Lake Airport,54.125301361083984,-108.52300262451172,medium_airport
YLL,Lloydminster Airport,53.3092,-110.072998,medium_airport
YLR,Leaf Rapids Airport,56.513301849365234,-99.98529815673828,medium_airport
YLK,Barrie-Lake Simcoe Regional Airport,44.485056,-79.554663,medium_airport
YLT,Alert Airport,82.517263,-62.283037,medium_airport
YLW,Kelowna International Airport,49.9561,-119.377998,large_airport
YMA,Mayo Airport,63.61640167236328,-135.8679962158203,medium_airport
YME,Matane Airport,48.85689926147461,-67.45330047607422,medium_airport
YMG,Manitouwadge Airport,49.08390045166016,-85.86060333251953,medium_airport
YMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport,50.330299377441406,-105.55899810791016,medium_airport
YML,Charlevoix Airport,47.59749984741211,-70.2238998413086,medium_airport
YMM,Fort McMurray International Airport,56.653301,-111.222,medium_airport
YMO,Moosonee Airport,51.29109954833984,-80.60780334472656,medium_airport
YMT,Chapais Airport,49.77190017700195,-74.5280990600586,medium_airport
YMX,Montreal Mirabel International Airport,45.679501,-74.038696,medium_airport
YNA,Natashquan Airport,50.190114,-61.78898,medium_airport
YND,Ottawa / Gatineau Airport,45.521702,-75.563599,medium_airport
YLY,Langley Airport,49.1008,-122.630997,medium_airport
YNL,Points North Landing Airport,58.27669906616211,-104.08200073242188,medium_airport
YNM,Matagami Airport,49.76169967651367,-77.80280303955078,medium_airport
YOA,Ekati Airport,64.6988983154,-110.614997864,medium_airport
YOD,CFB Cold Lake,54.40499877929688,-110.27899932861328,medium_airport
